"","seed","type","age_death","id","seed"
"1",639,"Joint Man/Woman",93,617,639
"2",165,"Joint Man/Woman",81,497,165
"3",185,"Joint Man/Woman",89,182,185
"4",896,"Joint Man/Woman",89,969,896
"5",818,"Joint Man/Woman",70,951,818
"6",669,"Joint Man/Woman",98,366,669
"7",949,"Joint Man/Woman",100,935,949
"8",514,"Joint Man/Woman",97,760,514
"9",1047,"Joint Man/Woman",89,572,1047
"10",1104,"Joint Man/Woman",102,730,1104
"11",927,"Joint Man/Woman",78,926,927
"12",973,"Joint Man/Woman",91,836,973
"13",324,"Joint Man/Woman",101,94,324
"14",614,"Joint Man/Woman",85,605,614
"15",555,"Joint Man/Woman",84,27,555
"16",891,"Joint Man/Woman",90,510,891
"17",249,"Joint Man/Woman",96,479,249
"18",1099,"Joint Man/Woman",90,658,1099
"19",266,"Joint Man/Woman",95,838,266
"20",611,"Joint Man/Woman",88,732,611
"21",1096,"Joint Man/Woman",100,721,1096
"22",526,"Joint Man/Woman",98,329,526
"23",837,"Joint Man/Woman",86,509,837
"24",477,"Joint Man/Woman",84,111,477
"25",278,"Joint Man/Woman",96,844,278
"26",719,"Joint Man/Woman",92,366,719
"27",141,"Joint Man/Woman",88,499,141
"28",873,"Joint Man/Woman",89,789,873
"29",290,"Joint Man/Woman",97,158,290
"30",918,"Joint Man/Woman",90,735,918
"31",1068,"Joint Man/Woman",88,598,1068
"32",953,"Joint Man/Woman",101,657,953
"33",788,"Joint Man/Woman",97,235,788
"34",1010,"Joint Man/Woman",90,295,1010
"35",702,"Joint Man/Woman",93,396,702
"36",621,"Joint Man/Woman",97,299,621
"37",320,"Joint Man/Woman",99,356,320
"38",935,"Joint Man/Woman",96,861,935
"39",918,"Joint Man/Woman",92,42,918
"40",574,"Joint Man/Woman",85,949,574
"41",316,"Joint Man/Woman",90,694,316
"42",301,"Joint Man/Woman",96,764,301
"43",928,"Joint Man/Woman",85,895,928
"44",604,"Joint Man/Woman",94,264,604
"45",486,"Joint Man/Woman",90,706,486
